Rank,Title,Impact_Score,Start_Date,End_Date,Venue,Link2Conference,Link_Img
1,Computer Vision and Pattern Recognition,60.70,18-06-2023,22-06-2023,Vancouver,https://research.com/conference/ieeecvf-conference-on-computer-vision-and-pattern-recognition-1,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
2,European Conference on Computer Vision,38.70,24-10-2022,28-10-2022,Tel Aviv,https://research.com/conference/european-conference-on-computer-vision,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
3,Neural Information Processing Systems,38.50,12-12-2023,14-12-2023,New Orleans,https://research.com/conference/37th-conference-on-neural-information-processing-systems,https://s.research.com/images/db429d843e9560a6879758f9290a4371781f4b46-342x65.png
4,International Conference on Learning Representations,35.70,01-05-2023,05-05-2023,Kigali,https://research.com/conference/iclr-2022-international-conference-on-learning-representations,https://s.research.com/images/9102ef08366a4a23ba7a7b091a67a0ec922d5708-65x65.png
5,International Conference on Computer Vision,31.80,11-10-2021,11-10-2021,Montreal,https://research.com/conference/iccv-2021-ieeecvf-international-conference-on-computer-vision,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
6,AAAI Conference on Artificial Intelligence,31.10,07-02-2023,14-02-2023,Washington DC,https://research.com/conference/aaai-2022-aaai-conference-on-artificial-intelligence36,https://s.research.com/images/8df9bf4976c21d764a639479f9759d4daab17d42-91x65.png
7,International Conference on Machine Learning,30.40,17-07-2022,23-07-2022,Baltimore,https://research.com/conference/the-39th-international-conference-on-machine-learning,https://s.research.com/images/62635dcee98f48904d4ff063824e3f0cd2a97543-51x65.png
8,Meeting of the Association for Computational Linguistics,26.90,22-05-2022,27-05-2022,Dublin,https://research.com/conference/acl-2022-60th-annual-meeting-of-the-association-for-computational-linguistics,https://s.research.com/website/1098944084/images/placeholder.svg
9,Empirical Methods in Natural Language Processing,24.80,06-12-2023,10-12-2023,Singapore City,https://research.com/conference/2023-conference-on-empirical-methods-in-natural-language-processing,https://s.research.com/website/1098944084/images/placeholder.svg
10,North American Chapter of the Association for Computational Linguistics,21.30,10-07-2022,15-07-2022,Seattle,https://research.com/conference/2022-conference-of-the-north-american-chapter-of-the-association-for-computational-linguistics-human-language-technologies-naacl-hlt-2022,https://s.research.com/website/1098944084/images/placeholder.svg
11,International Joint Conference on Artificial Intelligence,20.80,23-07-2022,29-07-2022,Vienna,https://research.com/conference/31st-international-joint-conference-on-artificial-intelligence-ijcai-2022,https://s.research.com/images/4d3ae46ffcae57ba60d18d13f025e433a2acaa19-179x65.png
12,Knowledge Discovery and Data Mining,17.50,06-08-2023,10-08-2023,Long Beach,https://research.com/conference/28th-acm-sigkdd-conference-on-knowledge-discovery-and-data-mining,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
13,Human Factors in Computing Systems,16.50,23-04-2023,28-04-2023,Hamburg,https://research.com/conference/conference-on-human-factors-in-computing-systems,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
14,"International Conference on Acoustics, Speech, and Signal Processing",15.90,04-06-2023,09-06-2023,Rhodes Island,https://research.com/conference/icassp-2022-ieee-international-conference-on-acoustics-speech-and-signal-processing-icassp,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
15,Conference of the International Speech Communication Association,13.90,18-09-2023,21-09-2023,Warsaw,https://research.com/conference/interspeech-conference,https://s.research.com/images/c5de2b22f1a2a19b093d3293f5b02b40600d7d2e-65x65.png
16,World Wide Web,13.80,01-05-2023,05-05-2023,Austin,https://research.com/conference/the-web-conference,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
17,International Joint Conference on Natural Language Processing,13.60,21-11-2022,24-11-2022,Taipei,https://research.com/conference/10th-international-joint-conference-on-natural-language-processing,https://s.research.com/images/ba0d1d478baec84442b16739eb5c6203d2034df6-65x65.png
18,Computer and Communications Security,13.10,26-11-2023,30-11-2023,Copenhagen,https://research.com/conference/30th-acm-conference-on-computer-and-communications-security-ccs,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
19,IEEE Symposium on Security and Privacy,12.90,22-05-2023,26-05-2023,San Francisco,https://research.com/conference/ieee-symposium-on-security-and-privacy,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
20,ACM Multimedia,12.60,07-06-2023,10-06-2023,Vancouver,https://research.com/conference/acm-multimedia-systems-conference-3,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
21,Research and Development in Information Retrieval,12.50,11-07-2022,15-07-2022,Madrid,https://research.com/conference/acm-sigir-2022-45th-international-acm-sigir-conference-on-research-and-development-in-information-retrieval,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
22,International Conference on Software Engineering,12.10,14-05-2023,20-05-2023,Melbourne,https://research.com/conference/international-conference-on-software-engineering,https://s.research.com/images/33bf717a26b47427087ee33408a8961ad9be4407-65x65.png
23,Workshop on Algorithms and Data Structures,11.80,09-08-2021,09-08-2021,Halifax,https://research.com/conference/wads-2021-algorithms-and-data-structures-symposium,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
24,Workshop on Applications of Computer Vision,11.60,03-01-2024,07-01-2024,Waikoloa,https://research.com/conference/ieeecvf-winter-conference-on-applications-of-computer-vision-3,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
25,Conference on Information and Knowledge Management,11.40,21-10-2023,25-10-2023,University of Birmingham,https://research.com/conference/32nd-acm-international-conference-on-information-and-knowledge-management,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
26,International Conference on Management of Data,11.00,18-06-2023,23-06-2023,Seattle,https://research.com/conference/international-conference-on-management-of-data,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
27,Web Search and Data Mining,11.00,27-02-2023,03-03-2023,Singapore,https://research.com/conference/wsdm-2022-acm-international-conference-on-web-search-and-data-mining,https://s.research.com/images/ed141fdd22d42b70ab5330aa5a0b4a0691e326cc-188x65.png
28,Conference on Computer Vision and Pattern Recognition Workshops,10.90,18-06-2023,22-06-2023,Vancouver,https://research.com/conference/ieeecvf-conference-on-computer-vision-and-pattern-recognition,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
29,Medical Image Computing and Computer-Assisted Intervention,10.90,08-10-2023,12-10-2023,Vancouver & Online,https://research.com/conference/26th-international-conference-on-medical-image-computing-and-computer-assisted-intervention-1,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
30,USENIX Security Symposium,10.90,09-08-2023,11-08-2023,Anaheim,https://research.com/conference/the-31st-usenix-security-symposium,https://s.research.com/images/6abe140e0919533385800d57d8165dbb9b42ff01-65x65.jpeg
31,Theory of Cryptography Conference,10.50,29-11-2023,02-12-2023,Taipei,https://research.com/conference/21st-theory-of-cryptography-conference,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
32,International Conference on Artificial Intelligence and Statistics,10.00,28-03-2022,30-03-2022,,https://research.com/conference/the-25th-international-conference-on-artificial-intelligence-and-statistics,https://s.research.com/images/62635dcee98f48904d4ff063824e3f0cd2a97543-51x65.png
33,British Machine Vision Conference,9.40,21-11-2022,24-11-2022,London,https://research.com/conference/33rd-british-machine-vision-conference,https://s.research.com/images/506d4dcd167d393484f8dec9003b43c0900957dd-65x65.png
34,International Conference on Computer Vision Workshops,9.40,10-10-2021,17-10-2021,,https://research.com/conference/international-conference-on-computer-vision,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
35,"Annual Joint Conference: INFOCOM, IEEE Computer and Communications Societies",9.30,17-05-2023,20-05-2023,New York area,https://research.com/conference/ieee-international-conference-on-computer-communications,https://s.research.com/images/850fdf1379b24db0097e7c2e2d1d39ae95753c10-221x65.png
36,International Conference on Computational Linguistics and Intelligent Text Processing,9.20,18-03-2018,18-03-2018,Hanoi,https://research.com/conference/cicling-2018-international-conference-on-computational-linguistics-and-intelligent-text-processing,https://s.research.com/images/f297f09c18b6d5693526b7f8a6a4ced475d0eb31-233x65.png
37,Network and Distributed System Security,9.10,27-02-2023,03-03-2023,San Diego,https://research.com/conference/network-and-distributed-system-security-symposium,https://s.research.com/images/05561cdeea8215ab293d933bdc4b4b957e667dcc-65x65.jpeg
